PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Li, GQ; Xue, Q; Qin, JH				Li, Guangqin; Xue, Qing; Qin, Jiahong			Environmental information disclosure and green technology innovation: Empirical evidence from China	TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE				Article									[Li, Guangqin; Xue, Qing] Anhui Univ Finance & Econ, Sch Int Trade & Econ, Bongbu 233030, Peoples R China; [Qin, Jiahong] Shanghai Univ Finance & Econ, Inst Finance & Econ, Shanghai 361005, Peoples R China		Qin, JH (通讯作者)，Shanghai Univ Finance & Econ, Inst Finance & Econ, Shanghai 361005, Peoples R China.	vivian.qjh@foxmail.com								13	13											MAR	2022	176								121453	10.1016/j.techfore.2021.121453	http://dx.doi.org/10.1016/j.techfore.2021.121453													
J	Law, R; Buhalis, D; Cobanoglu, C				Law, Rob; Buhalis, Dimitrios; Cobanoglu, Cihan			Progress on information and communication technologies in hospitality and tourism	INTERNATIONAL JOURNAL OF CONTEMPORARY HOSPITALITY MANAGEMENT				Article									[Law, Rob] Hong Kong Polytech Univ Hung Hom, Sch Hotel & Tourism Management, Kowloon, Hong Kong, Peoples R China; [Buhalis, Dimitrios] Bournemouth Univ, Sch Tourism, eTourismLab, Poole BH12 5BB, Dorset, England; [Cobanoglu, Cihan] Univ South Florida Sarasota Manatee, CHTL, Sarasota, FL USA		Law, R (通讯作者)，Hong Kong Polytech Univ Hung Hom, Sch Hotel & Tourism Management, Kowloon, Hong Kong, Peoples R China.									333	341												2014	26	5					727	750		10.1108/IJCHM-08-2013-0367	http://dx.doi.org/10.1108/IJCHM-08-2013-0367													
J	Gardner, RL; Cooper, E; Haskell, J; Harris, DA; Poplau, S; Kroth, PJ; Linzer, M				Gardner, Rebekah L.; Cooper, Emily; Haskell, Jacqueline; Harris, Daniel A.; Poplau, Sara; Kroth, Philip J.; Linzer, Mark			Physician stress and burnout: the impact of health information technology	JOURNAL OF THE AMERICAN MEDICAL INFORMATICS ASSOCIATION				Article									[Gardner, Rebekah L.] Brown Univ, Dept Med, Warren Alpert Med Sch, Providence, RI 02912 USA; [Gardner, Rebekah L.; Cooper, Emily; Haskell, Jacqueline; Harris, Daniel A.] Healthcentr Advisors, 235 Promenade St, Providence, RI 02908 USA; [Harris, Daniel A.] Univ Toronto, Dalla Lana Sch Publ Hlth, Dept Epidemiol, Toronto, ON, Canada; [Poplau, Sara] Hennepin Healthcare Res Inst, Minneapolis, MN USA; [Kroth, Philip J.] Univ New Mexico, Sch Med, Dept Internal Med, Albuquerque, NM 87131 USA; [Linzer, Mark] Hennepin Cty Med Ctr, Dept Med, Minneapolis, MN 55415 USA		Gardner, RL (通讯作者)，Healthcentr Advisors, 235 Promenade St, Providence, RI 02908 USA.	rebekah_gardner@brown.edu								204	204											FEB	2019	26	2					106	114		10.1093/jamia/ocy145	http://dx.doi.org/10.1093/jamia/ocy145													
J	Irfan, M; Ahmad, M				Irfan, Muhammad; Ahmad, Munir			Modeling consumers' information acquisition and 5G technology utilization: Is personality relevant?	PERSONALITY AND INDIVIDUAL DIFFERENCES				Article									[Irfan, Muhammad] Beijing Inst Technol, Sch Management & Econ, Beijing 100081, Peoples R China; [Irfan, Muhammad] Beijing Inst Technol, Ctr Energy & Environm Policy Res, Beijing 100081, Peoples R China; [Irfan, Muhammad] Ilma Univ, Sch Business Adm, Karachi 75190, Pakistan; [Ahmad, Munir] Zhejiang Univ, Sch Econ, Hangzhou 310058, Peoples R China		Ahmad, M (通讯作者)，Zhejiang Univ, Sch Econ, Hangzhou 310058, Peoples R China.	irfansahar@bit.edu.cn; munirahmad@zju.edu.cn								44	44											APR	2022	188								111450	10.1016/j.paid.2021.111450	http://dx.doi.org/10.1016/j.paid.2021.111450		DEC 2021											
J	Lee, CC; Yuan, ZH; Wang, QR				Lee, Chien-Chiang; Yuan, Zihao; Wang, Qiaoru			How does information and communication technology affect energy security? International evidence	ENERGY ECONOMICS				Article									[Lee, Chien-Chiang; Wang, Qiaoru] Nanchang Univ, Res Ctr Cent China Econ & Social Dev, 999 Xuefu Ave, Nanchang 330031, Jiangxi, Peoples R China; [Lee, Chien-Chiang; Yuan, Zihao; Wang, Qiaoru] Nanchang Univ, Sch Econ & Management, 999 Xuefu Ave, Nanchang 330031, Jiangxi, Peoples R China; [Wang, Qiaoru] Nanchang Univ, Sch Econ & Management, 999 Xuefu Ave,B255 Zhihua Bldg,Qianhu Campus, Nanchang 330031, Jiangxi, Peoples R China		Wang, QR (通讯作者)，Nanchang Univ, Sch Econ & Management, 999 Xuefu Ave,B255 Zhihua Bldg,Qianhu Campus, Nanchang 330031, Jiangxi, Peoples R China.	wangqr0816@163.com								23	23											MAY	2022	109								105969	10.1016/j.eneco.2022.105969	http://dx.doi.org/10.1016/j.eneco.2022.105969													
J	Kurizki, G; Bertet, P; Kubo, Y; Molmer, K; Petrosyan, D; Rabl, P; Schmiedmayer, J				Kurizki, Gershon; Bertet, Patrice; Kubo, Yuimaru; Molmer, Klaus; Petrosyan, David; Rabl, Peter; Schmiedmayer, Joerg			Quantum technologies with hybrid systems	PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA				Article									[Kurizki, Gershon] Weizmann Inst Sci, Dept Chem Phys, IL-76100 Rehovot, Israel; [Bertet, Patrice; Kubo, Yuimaru] Commissariat Energie Atom, Unite Mixte Rech 3680, Serv Phys Etat Condense, Quantron Grp, F-91191 Gif Sur Yvette, France; [Molmer, Klaus] Aarhus Univ, Dept Phys & Astron, DK-8000 Aarhus C, Denmark; [Petrosyan, David] Aarhus Univ, Aarhus Inst Adv Studies, DK-8000 Aarhus C, Denmark; [Petrosyan, David] Fdn Res & Technol Hellas, Inst Elect Struct & Laser, GR-71110 Iraklion, Crete, Greece; [Rabl, Peter; Schmiedmayer, Joerg] Vienna Univ Technol Wien, Vienna Ctr Quantum Sci & Technol, A-1020 Vienna, Austria		Kurizki, G (通讯作者)，Weizmann Inst Sci, Dept Chem Phys, IL-76100 Rehovot, Israel.	gershon.kurizki@weizmann.ac.il								443	448											MAR 31	2015	112	13					3866	3873		10.1073/pnas.1419326112	http://dx.doi.org/10.1073/pnas.1419326112													
J	Wu, JS; Guo, S; Huang, HW; Liu, W; Xiang, Y				Wu, Jinsong; Guo, Song; Huang, Huawei; Liu, William; Xiang, Yong			Information and Communications Technologies for Sustainable Development Goals: State-of-the-Art, Needs and Perspectives	IEEE COMMUNICATIONS SURVEYS AND TUTORIALS				Article									[Wu, Jinsong] Univ Chile, Dept Elect Engn, Santiago 8370451, Chile; [Guo, Song] Hong Kong Polytech Univ, Dept Comp, Hong Kong, Hong Kong, Peoples R China; [Huang, Huawei] Kyoto Univ, Dept Intelligence Sci & Technol, Kyoto 6068501, Japan; [Liu, William] Auckland Univ Technol, Dept Informat Technol & Software Engn, Auckland 1010, New Zealand; [Xiang, Yong] Deakin Univ, Sch Informat Technol, Burwood, Vic 3125, Australia		Guo, S (通讯作者)，Hong Kong Polytech Univ, Dept Comp, Hong Kong, Hong Kong, Peoples R China.	wujs@ieee.org; song.guo@polyu.edu.hk; davyh-wang.cug@gmail.com; william.liu@aut.ac.nz; yxiang@deakin.edu.au								210	212												2018	20	3					2389	2406		10.1109/COMST.2018.2812301	http://dx.doi.org/10.1109/COMST.2018.2812301													
J	Asongu, SA; Odhiambo, NM				Asongu, Simplice A.; Odhiambo, Nicholas M.			Foreign direct investment, information technology and economic growth dynamics in Sub-Saharan Africa	TELECOMMUNICATIONS POLICY				Article									[Asongu, Simplice A.; Odhiambo, Nicholas M.] Univ South Africa, UNISA, Dept Econ, POB 392, ZA-0003 Pretoria, South Africa		Asongu, SA (通讯作者)，Univ South Africa, UNISA, Dept Econ, POB 392, ZA-0003 Pretoria, South Africa.	asongusimplice@yahoo.com; odhianm@unisa.ac.za								72	72											FEB	2020	44	1							101838	10.1016/j.telpol.2019.101838	http://dx.doi.org/10.1016/j.telpol.2019.101838													
J	Buhalis, D				Buhalis, Dimitrios			Technology in tourism-from information communication technologies to eTourism and smart tourism towards ambient intelligence tourism: a perspective article	TOURISM REVIEW				Review									[Buhalis, Dimitrios] Bournemouth Univ, Dept Tourism & Hospitality, Poole, Dorset, England		Buhalis, D (通讯作者)，Bournemouth Univ, Dept Tourism & Hospitality, Poole, Dorset, England.	dbuhalis@bournemouth.ac.uk								140	141												2020	75	1					267	272		10.1108/TR-06-2019-0258	http://dx.doi.org/10.1108/TR-06-2019-0258													
J	He, W; Zhang, ZP; Li, WZ				He, Wu; Zhang, Zuopeng (Justin); Li, Wenzhuo			Information technology solutions, challenges, and suggestions for tackling the COVID-19 pandemic	INTERNATIONAL JOURNAL OF INFORMATION MANAGEMENT				Article									[He, Wu; Li, Wenzhuo] Old Dominion Univ, Dept Informat Technol & Decis Sci, Norfolk, VA 23529 USA; [Zhang, Zuopeng (Justin)] Univ North Florida, Coggin Coll Business, Dept Management, Jacksonville, FL 32224 USA		He, W (通讯作者)，Old Dominion Univ, Dept Informat Technol & Decis Sci, Norfolk, VA 23529 USA.	whe@odu.edu; justin.zhang@unf.edu; wxli@odu.edu								101	101											APR	2021	57								102287	10.1016/j.ijinfomgt.2020.102287	http://dx.doi.org/10.1016/j.ijinfomgt.2020.102287													
